Filepath, Skipped Types, AnnTotal, #Annotations, #SkippedTypes, #NoneSkips, #InvalidSkips, #MissingPath
/projects/pypara/pypara/accounting/generic.py,set(),0,(0*5),0,0,0,0
/projects/pypara/pypara/commons/errors.py,{'typing.list'},15,(3*5),1,0,1,0
/projects/pypara/pypara/commons/zeitgeist.py,set(),0,(0*5),0,0,0,0
/projects/python-string-utils/string_utils/errors.py,{'None'},5,(1*5),1,1,0,0
/projects/pytutils/pytutils/excs.py,set(),5,(1*5),0,0,0,0
/projects/pytutils/pytutils/debug.py,set(),5,(1*5),0,0,0,0
/projects/pytutils/pytutils/props.py,{'None'},85,(17*5),9,9,0,0
/projects/pytutils/pytutils/lazy/simple_import.py,"{'flask.blueprints.Blueprint', 'None'}",30,(6*5),4,3,1,0
/projects/pytutils/pytutils/meth.py,"{'None', 'typing.Callable[...,typing.Any]'}",15,(3*5),4,3,1,0
/projects/sanic/sanic/models/futures.py,set(),0,(0*5),0,0,0,0
/projects/sanic/sanic/mixins/signals.py,"{'typing.Tuple[typing.Any,...]', 'None'}",75,(15*5),12,10,2,0
/projects/sanic/sanic/helpers.py,"{'typing.dict', 'typing.Generator[typing.Any,None,None]', 'None', '_importlib_modulespec.ModuleType', 'dep_check.models.SourceFile'}",60,(12*5),10,3,7,0
/projects/sanic/sanic/config.py,{'None'},45,(9*5),2,2,0,0
/projects/sanic/sanic/mixins/middleware.py,{'None'},70,(14*5),1,1,0,0
/projects/sanic/sanic/base.py,"{'None', 'typing.Union[typing_extensions.Literal,typing_extensions.Literal]', 'typing.list'}",30,(6*5),4,2,2,0
/projects/sanic/sanic/handlers.py,"{'typing.list', 'None', 'typing.Generator[typing.Any,None,None]'}",75,(15*5),15,13,2,0
/projects/sanic/sanic/views.py,"{'typing.list', 'django.http.HttpRequest', 'None', 'faust.web.Request', 'aiohttp.web.Request'}",105,(21*5),11,3,8,0
/projects/sanic/sanic/mixins/listeners.py,"{'gluonts.model.common.Tensor', 'typing.Tuple[typing.Any,...]', 'None'}",125,(25*5),20,14,6,0
/projects/sanic/sanic/headers.py,{'None'},85,(17*5),1,1,0,0
/projects/sty/sty/renderfunc.py,set(),70,(14*5),0,0,0,0
/projects/sty/sty/lib.py,{'None'},10,(2*5),1,1,0,0
/projects/sty/sty/register.py,set(),0,(0*5),0,0,0,0
/projects/thonny/thonny/token_utils.py,set(),15,(3*5),0,0,0,0
,,3635,0,386,268,114,4
,,90.40%,,9.60%,6.67%,2.84%,0.10%
